date,time,abbreviation_canton_and_fl,ncumul_tested,ncumul_conf,ncumul_hosp,ncumul_ICU,ncumul_vent,ncumul_released,ncumul_deceased,source
2020/1/22,,BE,,1,,,,,,
2020/1/23,,BE,,1,,,,,,
2020/1/24,,BE,,1,,,,,,
2020/1/25,,VD,,1,,,,,,
2020/1/25,,BE,,2,,,,,,
2020/1/26,,VD,,1,,,,,,
2020/1/26,,BE,,2,,,,,,
2020/1/27,,VD,,2,,,,,,
2020/1/27,,BE,,2,,,,,,
2020/1/27,,ZH,,1,,,,,,
2020/1/28,,VD,,2,,,,,,
2020/1/28,,BE,,2,,,,,,
2020/1/28,,ZH,,2,,,,,,
2020/1/29,,VD,,2,,,,,,
2020/1/29,,VS,,2,,,,,,
2020/1/29,,BE,,2,,,,,,
2020/1/29,,ZH,,2,,,,,,
2020/1/30,,VD,,2,,,,,,
2020/1/30,,VS,,2,,,,,,
2020/1/30,,BE,,2,,,,,,
2020/1/30,,ZH,,2,,,,,,
2020/1/31,,VD,,2,,,,,,
2020/1/31,,VS,,2,,,,,,
2020/1/31,,BE,,2,,,,,,
2020/1/31,,ZH,,2,,,,,,
2020/1/31,,SZ,,1,,,,,,
2020/2/1,,VD,,2,,,,,,
2020/2/1,,VS,,2,,,,,,
2020/2/1,,BE,,2,,,,,,
2020/2/1,,ZH,,2,,,,,,
2020/2/1,,SZ,,2,,,,,,
2020/2/2,,VD,,2,,,,,,
2020/2/2,,VS,,2,,,,,,
2020/2/2,,BE,,2,,,,,,
2020/2/2,,ZH,,2,,,,,,
2020/2/2,,SZ,,2,,,,,,
2020/2/3,,VD,,2,,,,,,
2020/2/3,,VS,,2,,,,,,
2020/2/3,,BE,,2,,,,,,
2020/2/3,,ZH,,2,,,,,,
2020/2/3,,SZ,,2,,,,,,
2020/2/4,,VD,,2,,,,,,
2020/2/4,,VS,,2,,,,,,
2020/2/4,,BE,,2,,,,,,
2020/2/4,,ZH,,2,,,,,,
2020/2/4,,SZ,,2,,,,,,
2020/2/5,,VD,,2,,,,,,
2020/2/5,,VS,,2,,,,,,
2020/2/5,,BE,,2,,,,,,
2020/2/5,,TI,,1,,,,,,
2020/2/5,,ZH,,2,,,,,,
2020/2/5,,SZ,,2,,,,,,
2020/2/6,,VD,,2,,,,,,
2020/2/6,,VS,,2,,,,,,
2020/2/6,,BE,,2,,,,,,
2020/2/6,,TI,,1,,,,,,
2020/2/6,,ZH,,2,,,,,,
2020/2/6,,SZ,,2,,,,,,
2020/2/7,,VD,,5,,,,,,
2020/2/7,,VS,,2,,,,,,
2020/2/7,,SG,,1,,,,,,
2020/2/7,,BE,,2,,,,,,
2020/2/7,,TI,,1,,,,,,
2020/2/7,,JU,,1,,,,,,
2020/2/7,,ZH,,2,,,,,,
2020/2/7,,SZ,,2,,,,,,
2020/2/8,,VD,,5,,,,,,
2020/2/8,,VS,,2,,,,,,
2020/2/8,,SG,,1,,,,,,
2020/2/8,,BE,,2,,,,,,
2020/2/8,,TI,,1,,,,,,
2020/2/8,,JU,,1,,,,,,
2020/2/8,,ZH,,2,,,,,,
2020/2/8,,SZ,,2,,,,,,
2020/2/9,,VD,,6,,,,,,
2020/2/9,,VS,,2,,,,,,
2020/2/9,,SG,,1,,,,,,
2020/2/9,,BE,,2,,,,,,
2020/2/9,,TI,,1,,,,,,
2020/2/9,,JU,,1,,,,,,
2020/2/9,,ZH,,2,,,,,,
2020/2/9,,SZ,,2,,,,,,
2020/2/10,,VD,,7,,,,,,
2020/2/10,,VS,,2,,,,,,
2020/2/10,,SG,,1,,,,,,
2020/2/10,,BE,,2,,,,,,
2020/2/10,,TI,,1,,,,,,
2020/2/10,,JU,,1,,,,,,
2020/2/10,,ZH,,2,,,,,,
2020/2/10,,SZ,,2,,,,,,
2020/2/11,,VD,,7,,,,,,
2020/2/11,,VS,,2,,,,,,
2020/2/11,,SG,,1,,,,,,
2020/2/11,,BE,,2,,,,,,
2020/2/11,,TI,,1,,,,,,
2020/2/11,,JU,,1,,,,,,
2020/2/11,,ZH,,2,,,,,,
2020/2/11,,SZ,,2,,,,,,
2020/2/12,,VD,,7,,,,,,
2020/2/12,,VS,,2,,,,,,
2020/2/12,,SG,,1,,,,,,
2020/2/12,,BE,,2,,,,,,
2020/2/12,,TI,,1,,,,,,
